firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Mark Lipacis,Evercore ISI,1772,11.21,20260213,89,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Brian Chin,Stifel Nicolaus,548,11.46,20260511,2,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Srini Pajjuri,RBC Capital Markets,1269,10.99,20260213,89,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,C.J. Muse,Cantor Fitzgerald,1190,11.0,20260213,89,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Stacy A. Rasgon,Bernstein Research,1140,,20260213,89,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Craig A. Ellis,B Riley Securities,765,11.38,20260213,89,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Melissa Weathers,Deutsche Bank Research,77,11.08,20260213,89,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Tammy Qiu,Berenberg,577,,20260507,6,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Jay Goldberg,Seaport Research Partners,1321,10.4,20260501,12,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Jed Dorsheimer,William Blair,198,11.51,20260213,89,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Pierre Ferragu,New Street Research,1634,11.26,20260427,16,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Chandler B. Converse,Cleveland Research Company,2295,11.220669,20260302,72,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Timm Schulze-Melander,Rothschild & Co Redburn,1652,,20260305,69,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Mehdi Hosseini,Susquehanna Financial Group,974,11.32,20260408,35,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Joe Quatrochi,Wells Fargo Securities,596,11.21,20260212,90,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Steve Barger,KeyBanc Capital Markets,618,11.15,20260213,89,3.5119,394.49,313209.03
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260513,Louis Miscioscia,Daiwa Securities Co. Ltd.,467,10.88,20260218,84,3.5119,394.49,313209.03
